# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writesQueuedMin,1788940377071000000,1788940437070000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788940377071000000,1788940437070000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788940377071000000,1788940437070000000,0
Indexing.writesQueuedMax,1788940377071000000,1788940437070000000,0
Indexing.cache.totalCacheMisses,1788940377071000000,1788940437070000000,0
Indexing.cache.totalCacheAccesses,1788940377071000000,1788940437070000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788940377071000000,1788940437070000000,0
Indexing.cache.totalCacheEvicted,1788940377071000000,1788940437070000000,0
Indexing.totalTimeIndexersSleptMs,1788940377071000000,1788940437070000000,0
Indexing.writesQueuedAvg,1788940377071000000,1788940437070000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1788940377071000000,1788940437070000000,0
FilePageCache.WAL.flushesForcedByOverflow,1788940377071000000,1788940437070000000,0
MappedFileStorage.storages,1788940377071000000,1788940437070000000,8
StorageLockContext.competingThreads.90P,1788940377071000000,1788940437070000000,0
FilePageCache.pageFastCacheHits,1788940377071000000,1788940437070000000,180
DirectByteBufferAllocator.reclaimed,1788940377071000000,1788940437070000000,0
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1788940377071000000,1788940437070000000,0
FilePageCache.totalBytesStored,1788940377071000000,1788940437070000000,960
StreamlinedBlobStorage.recordsAllocated,1788940377071000000,1788940437070000000,0
DirectByteBufferAllocator.hits,1788940377071000000,1788940437070000000,0
StorageLockContext.competingThreads.max,1788940377071000000,1788940437070000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788940377071000000,1788940437070000000,41959424
FilePageCache.WAL.entriesFlushed,1788940377071000000,1788940437070000000,0
FilePageCache.totalPageStoresUs,1788940377071000000,1788940437070000000,8374
DirectByteBufferAllocator.misses,1788940377071000000,1788940437070000000,0
FilePageCache.WAL.entriesFlushedOnRead,1788940377071000000,1788940437070000000,0
MappedFileStorage.totalBytesMapped,1788940377071000000,1788940437070000000,232783872
FilePageCache.pageHits,1788940377071000000,1788940437070000000,0
FilePageCache.capacityInBytes,1788940377071000000,1788940437070000000,629145600
MappedFileStorage.totalPagesMapped,1788940377071000000,1788940437070000000,8
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788940377071000000,1788940437070000000,0
FilePageCache.totalPageDisposalsUs,1788940377071000000,1788940437070000000,0
StreamlinedBlobStorage.recordsRelocated,1788940377071000000,1788940437070000000,0
FilePageCache.totalPageLoadsUs,1788940377071000000,1788940437070000000,0
FilePageCache.WAL.entriesFlushedOnForce,1788940377071000000,1788940437070000000,0
FilePageCache.pageLoads,1788940377071000000,1788940437070000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1788940377071000000,1788940437070000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788940377071000000,1788940437070000000,0
FilePageCache.WAL.entriesFlushedOnClose,1788940377071000000,1788940437070000000,0
FilePageCache.disposedBuffers,1788940377071000000,1788940437070000000,0
FilePageCache.uncachedFileAccess,1788940377071000000,1788940437070000000,60
FilePageCache.WAL.bytesQueued,1788940377071000000,1788940437070000000,0
StorageLockContext.competingThreads.avg,1788940377071000000,1788940437070000000,0.0
DirectByteBufferAllocator.disposed,1788940377071000000,1788940437070000000,0
FilePageCache.maxCacheSizeInBytes,1788940377071000000,1788940437070000000,400564224
MappedFileStorage.totalTimeSpentOnMappingUs,1788940377071000000,1788940437070000000,179239
StreamlinedBlobStorage.recordsDeleted,1788940377071000000,1788940437070000000,0
FilePageCache.WAL.entriesFlushedOnTruncate,1788940377071000000,1788940437070000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788940377071000000,1788940437070000000,400564224
FilePageCache.pageLoadsAboveSizeThreshold,1788940377071000000,1788940437070000000,0
FilePageCache.maxRegisteredFiles,1788940377071000000,1788940437070000000,1072
cacheStateStorage.set.counter,1788940377071000000,1788940437070000000,0
cacheStateStorage.get.counter,1788940377071000000,1788940437070000000,0
cacheStateStorage.get.duration,1788940377071000000,1788940437070000000,0
cacheStateStorage.set.duration,1788940377071000000,1788940437070000000,0
jps.global.initialize.library.bridges.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788940377071000000,1788940437070000000,0
jps.app.storage.content.reader.load.component.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1788940377071000000,1788940437070000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.instances.count,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788940377071000000,1788940437070000000,0
workspaceModel.global.updates.ms,1788940377071000000,1788940437070000000,0
jps.load.initial.state.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788940377071000000,1788940437070000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788940377071000000,1788940437070000000,0
jps.global.get.library.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788940377071000000,1788940437070000000,0
jps.global.get.libraries.ms,1788940377071000000,1788940437070000000,0
jps.global.handle.before.change.events.ms,1788940377071000000,1788940437070000000,0
jps.global.handle.changed.events.ms,1788940377071000000,1788940437070000000,0
workspaceModel.save.cache.to.file.ms,1788940377071000000,1788940437070000000,0
jps.global.initialize.library.bridges.after.loading.ms,1788940377071000000,1788940437070000000,0
jps.library.entities.serializer.save.entities.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788940377071000000,1788940437070000000,0
workspaceModel.load.cache.from.file.ms,1788940377071000000,1788940437070000000,0
jps.save.global.entities.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788940377071000000,1788940437070000000,0
jps.library.entities.serializer.load.entities.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788940377071000000,1788940437070000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1788940377071000000,1788940437070000000,0
workspaceModel.global.updates.count,1788940377071000000,1788940437070000000,0
workspaceModel.sync.entities.ms,1788940377071000000,1788940437070000000,0
workspaceModel.global.apply.state.to.project.ms,1788940377071000000,1788940437070000000,0
jps.global.get.library.by.name.ms,1788940377071000000,1788940437070000000,0
jps.app.storage.content.writer.save.component.ms,1788940377071000000,1788940437070000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1788940377071000000,1788940437070000000,0
writeAction.median.wait.ms,1788940377071000000,1788940437070000000,0
writeAction.wait.ms,1788940377071000000,1788940437070000000,0
writeAction.max.wait.ms,1788940377071000000,1788940437070000000,1
writeAction.count,1788940377071000000,1788940437070000000,0
FlushQueue.waitingTime90PNs,1788940437070000000,1788940497070000000,0
ReadAction.executionsCount,1788940437070000000,1788940497070000000,60
FlushQueue.executionTime90PNs,1788940437070000000,1788940497070000000,0
FlushQueue.queueSize90P,1788940437070000000,1788940497070000000,0
FlushQueue.queueSizeMax,1788940437070000000,1788940497070000000,0
AWTEventQueue.dispatchTime90PNs,1788940437070000000,1788940497070000000,100863
FlushQueue.queueSizeAvg,1788940437070000000,1788940497070000000,0.0
FlushQueue.waitingTimeMaxNs,1788940437070000000,1788940497070000000,0
WriteAction.executionsCount,1788940437070000000,1788940497070000000,0
AWTEventQueue.dispatchTimeMaxNs,1788940437070000000,1788940497070000000,156671
FlushQueue.tasksExecuted,1788940437070000000,1788940497070000000,0
FlushQueue.executionTimeMaxNs,1788940437070000000,1788940497070000000,0
FlushQueue.executionTimeAvgNs,1788940437070000000,1788940497070000000,0.0
AWTEventQueue.eventsDispatched,1788940437070000000,1788940497070000000,180
FlushQueue.waitingTimeAvgNs,1788940437070000000,1788940497070000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1788940437070000000,1788940497070000000,15683982
AWTEventQueue.dispatchTimeAvgNs,1788940437070000000,1788940497070000000,87128.88888888889
VFS.contentStorage.recordsRead,1788940437070000000,1788940497070000000,0
VFS.cache.filesCreated,1788940437070000000,1788940497070000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788940437070000000,1788940497070000000,0
VFS.ContentWriter.totalTasksExecutedSync,1788940437070000000,1788940497070000000,0
VFS.contentStorage.recordsStoredSize,1788940437070000000,1788940497070000000,0
VFS.invertedFileNameIndex.requests,1788940437070000000,1788940497070000000,0
VFS.folderCaseSensitivityReads,1788940437070000000,1788940497070000000,0
FileNameCache.queries,1788940437070000000,1788940497070000000,0
VFS.contentStorage.recordsReadSize,1788940437070000000,1788940497070000000,0
VFS.contentStorage.recordsStoredCompressed,1788940437070000000,1788940497070000000,0
VFS.contentStorage.recordsReadDecompressed,1788940437070000000,1788940497070000000,0
VFS.fileChildByName,1788940437070000000,1788940497070000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788940437070000000,1788940497070000000,0
FileNameCache.totalMisses,1788940437070000000,1788940497070000000,0
VFS.contentStorage.recordsDeduplicated,1788940437070000000,1788940497070000000,0
VFS.fileByIdCache.hits,1788940437070000000,1788940497070000000,0
VFS.contentStorage.recordsStored,1788940437070000000,1788940497070000000,0
VFS.contentStorage.recordsUncompressedSize,1788940437070000000,1788940497070000000,0
VFS.fileByIdCache.misses,1788940437070000000,1788940497070000000,0
VFS.cache.segments,1788940437070000000,1788940497070000000,0
VFS.cache.segmentsCreated,1788940437070000000,1788940497070000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788940437070000000,1788940497070000000,0
VFS.ContentWriter.totalFlushes,1788940437070000000,1788940497070000000,0
VFS.ContentWriter.totalTasksExecutedAsync,1788940437070000000,1788940497070000000,0
VFS.rootsCount,1788940437070000000,1788940497070000000,0.0
VFS.cache.directoriesCreated,1788940437070000000,1788940497070000000,0
Indexing.writesQueuedMin,1788940437070000000,1788940497070000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788940437070000000,1788940497070000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788940437070000000,1788940497070000000,0
Indexing.writesQueuedMax,1788940437070000000,1788940497070000000,0
Indexing.cache.totalCacheMisses,1788940437070000000,1788940497070000000,0
Indexing.cache.totalCacheAccesses,1788940437070000000,1788940497070000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788940437070000000,1788940497070000000,0
Indexing.cache.totalCacheEvicted,1788940437070000000,1788940497070000000,0
Indexing.totalTimeIndexersSleptMs,1788940437070000000,1788940497070000000,0
Indexing.writesQueuedAvg,1788940437070000000,1788940497070000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1788940437070000000,1788940497070000000,0
FilePageCache.WAL.flushesForcedByOverflow,1788940437070000000,1788940497070000000,0
MappedFileStorage.storages,1788940437070000000,1788940497070000000,8
StorageLockContext.competingThreads.90P,1788940437070000000,1788940497070000000,0
FilePageCache.pageFastCacheHits,1788940437070000000,1788940497070000000,180
DirectByteBufferAllocator.reclaimed,1788940437070000000,1788940497070000000,0
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1788940437070000000,1788940497070000000,0
FilePageCache.totalBytesStored,1788940437070000000,1788940497070000000,960
StreamlinedBlobStorage.recordsAllocated,1788940437070000000,1788940497070000000,0
DirectByteBufferAllocator.hits,1788940437070000000,1788940497070000000,0
StorageLockContext.competingThreads.max,1788940437070000000,1788940497070000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788940437070000000,1788940497070000000,41959424
FilePageCache.WAL.entriesFlushed,1788940437070000000,1788940497070000000,0
FilePageCache.totalPageStoresUs,1788940437070000000,1788940497070000000,8261
DirectByteBufferAllocator.misses,1788940437070000000,1788940497070000000,0
FilePageCache.WAL.entriesFlushedOnRead,1788940437070000000,1788940497070000000,0
MappedFileStorage.totalBytesMapped,1788940437070000000,1788940497070000000,232783872
FilePageCache.pageHits,1788940437070000000,1788940497070000000,0
FilePageCache.capacityInBytes,1788940437070000000,1788940497070000000,629145600
MappedFileStorage.totalPagesMapped,1788940437070000000,1788940497070000000,8
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788940437070000000,1788940497070000000,0
FilePageCache.totalPageDisposalsUs,1788940437070000000,1788940497070000000,0
StreamlinedBlobStorage.recordsRelocated,1788940437070000000,1788940497070000000,0
FilePageCache.totalPageLoadsUs,1788940437070000000,1788940497070000000,0
FilePageCache.WAL.entriesFlushedOnForce,1788940437070000000,1788940497070000000,0
FilePageCache.pageLoads,1788940437070000000,1788940497070000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1788940437070000000,1788940497070000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788940437070000000,1788940497070000000,0
FilePageCache.WAL.entriesFlushedOnClose,1788940437070000000,1788940497070000000,0
FilePageCache.disposedBuffers,1788940437070000000,1788940497070000000,0
FilePageCache.uncachedFileAccess,1788940437070000000,1788940497070000000,60
FilePageCache.WAL.bytesQueued,1788940437070000000,1788940497070000000,0
StorageLockContext.competingThreads.avg,1788940437070000000,1788940497070000000,0.0
DirectByteBufferAllocator.disposed,1788940437070000000,1788940497070000000,0
FilePageCache.maxCacheSizeInBytes,1788940437070000000,1788940497070000000,400564224
MappedFileStorage.totalTimeSpentOnMappingUs,1788940437070000000,1788940497070000000,179239
StreamlinedBlobStorage.recordsDeleted,1788940437070000000,1788940497070000000,0
FilePageCache.WAL.entriesFlushedOnTruncate,1788940437070000000,1788940497070000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788940437070000000,1788940497070000000,400564224
FilePageCache.pageLoadsAboveSizeThreshold,1788940437070000000,1788940497070000000,0
FilePageCache.maxRegisteredFiles,1788940437070000000,1788940497070000000,1072
cacheStateStorage.set.counter,1788940437070000000,1788940497070000000,0
cacheStateStorage.get.counter,1788940437070000000,1788940497070000000,0
cacheStateStorage.get.duration,1788940437070000000,1788940497070000000,0
cacheStateStorage.set.duration,1788940437070000000,1788940497070000000,0
jps.global.initialize.library.bridges.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788940437070000000,1788940497070000000,0
jps.app.storage.content.reader.load.component.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1788940437070000000,1788940497070000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.instances.count,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788940437070000000,1788940497070000000,0
workspaceModel.global.updates.ms,1788940437070000000,1788940497070000000,0
jps.load.initial.state.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788940437070000000,1788940497070000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788940437070000000,1788940497070000000,0
jps.global.get.library.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788940437070000000,1788940497070000000,0
jps.global.get.libraries.ms,1788940437070000000,1788940497070000000,0
jps.global.handle.before.change.events.ms,1788940437070000000,1788940497070000000,0
jps.global.handle.changed.events.ms,1788940437070000000,1788940497070000000,0
workspaceModel.save.cache.to.file.ms,1788940437070000000,1788940497070000000,0
jps.global.initialize.library.bridges.after.loading.ms,1788940437070000000,1788940497070000000,0
jps.library.entities.serializer.save.entities.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788940437070000000,1788940497070000000,0
workspaceModel.load.cache.from.file.ms,1788940437070000000,1788940497070000000,0
jps.save.global.entities.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788940437070000000,1788940497070000000,0
jps.library.entities.serializer.load.entities.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788940437070000000,1788940497070000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1788940437070000000,1788940497070000000,0
workspaceModel.global.updates.count,1788940437070000000,1788940497070000000,0
workspaceModel.sync.entities.ms,1788940437070000000,1788940497070000000,0
workspaceModel.global.apply.state.to.project.ms,1788940437070000000,1788940497070000000,0
jps.global.get.library.by.name.ms,1788940437070000000,1788940497070000000,0
jps.app.storage.content.writer.save.component.ms,1788940437070000000,1788940497070000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1788940437070000000,1788940497070000000,0
writeAction.median.wait.ms,1788940437070000000,1788940497070000000,0
writeAction.wait.ms,1788940437070000000,1788940497070000000,0
writeAction.max.wait.ms,1788940437070000000,1788940497070000000,1
writeAction.count,1788940437070000000,1788940497070000000,0
FlushQueue.waitingTime90PNs,1788940497070000000,1788940557070000000,0
ReadAction.executionsCount,1788940497070000000,1788940557070000000,60
FlushQueue.executionTime90PNs,1788940497070000000,1788940557070000000,0
FlushQueue.queueSize90P,1788940497070000000,1788940557070000000,0
FlushQueue.queueSizeMax,1788940497070000000,1788940557070000000,0
AWTEventQueue.dispatchTime90PNs,1788940497070000000,1788940557070000000,108543
FlushQueue.queueSizeAvg,1788940497070000000,1788940557070000000,0.0
FlushQueue.waitingTimeMaxNs,1788940497070000000,1788940557070000000,0
WriteAction.executionsCount,1788940497070000000,1788940557070000000,0
AWTEventQueue.dispatchTimeMaxNs,1788940497070000000,1788940557070000000,1028095
FlushQueue.tasksExecuted,1788940497070000000,1788940557070000000,0
FlushQueue.executionTimeMaxNs,1788940497070000000,1788940557070000000,0
FlushQueue.executionTimeAvgNs,1788940497070000000,1788940557070000000,0.0
AWTEventQueue.eventsDispatched,1788940497070000000,1788940557070000000,180
FlushQueue.waitingTimeAvgNs,1788940497070000000,1788940557070000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1788940497070000000,1788940557070000000,17383946
AWTEventQueue.dispatchTimeAvgNs,1788940497070000000,1788940557070000000,96585.95555555556
VFS.contentStorage.recordsRead,1788940497070000000,1788940557070000000,0
VFS.cache.filesCreated,1788940497070000000,1788940557070000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788940497070000000,1788940557070000000,0
VFS.ContentWriter.totalTasksExecutedSync,1788940497070000000,1788940557070000000,0
VFS.contentStorage.recordsStoredSize,1788940497070000000,1788940557070000000,0
VFS.invertedFileNameIndex.requests,1788940497070000000,1788940557070000000,0
VFS.folderCaseSensitivityReads,1788940497070000000,1788940557070000000,0
FileNameCache.queries,1788940497070000000,1788940557070000000,0
VFS.contentStorage.recordsReadSize,1788940497070000000,1788940557070000000,0
VFS.contentStorage.recordsStoredCompressed,1788940497070000000,1788940557070000000,0
VFS.contentStorage.recordsReadDecompressed,1788940497070000000,1788940557070000000,0
VFS.fileChildByName,1788940497070000000,1788940557070000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788940497070000000,1788940557070000000,0
FileNameCache.totalMisses,1788940497070000000,1788940557070000000,0
VFS.contentStorage.recordsDeduplicated,1788940497070000000,1788940557070000000,0
VFS.fileByIdCache.hits,1788940497070000000,1788940557070000000,0
VFS.contentStorage.recordsStored,1788940497070000000,1788940557070000000,0
VFS.contentStorage.recordsUncompressedSize,1788940497070000000,1788940557070000000,0
VFS.fileByIdCache.misses,1788940497070000000,1788940557070000000,0
VFS.cache.segments,1788940497070000000,1788940557070000000,0
VFS.cache.segmentsCreated,1788940497070000000,1788940557070000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788940497070000000,1788940557070000000,0
VFS.ContentWriter.totalFlushes,1788940497070000000,1788940557070000000,0
VFS.ContentWriter.totalTasksExecutedAsync,1788940497070000000,1788940557070000000,0
VFS.rootsCount,1788940497070000000,1788940557070000000,0.0
VFS.cache.directoriesCreated,1788940497070000000,1788940557070000000,0
Indexing.writesQueuedMin,1788940497070000000,1788940557070000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788940497070000000,1788940557070000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788940497070000000,1788940557070000000,0
Indexing.writesQueuedMax,1788940497070000000,1788940557070000000,0
Indexing.cache.totalCacheMisses,1788940497070000000,1788940557070000000,0
Indexing.cache.totalCacheAccesses,1788940497070000000,1788940557070000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788940497070000000,1788940557070000000,0
Indexing.cache.totalCacheEvicted,1788940497070000000,1788940557070000000,0
Indexing.totalTimeIndexersSleptMs,1788940497070000000,1788940557070000000,0
Indexing.writesQueuedAvg,1788940497070000000,1788940557070000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1788940497070000000,1788940557070000000,0
FilePageCache.WAL.flushesForcedByOverflow,1788940497070000000,1788940557070000000,0
MappedFileStorage.storages,1788940497070000000,1788940557070000000,8
StorageLockContext.competingThreads.90P,1788940497070000000,1788940557070000000,0
FilePageCache.pageFastCacheHits,1788940497070000000,1788940557070000000,180
DirectByteBufferAllocator.reclaimed,1788940497070000000,1788940557070000000,0
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1788940497070000000,1788940557070000000,0
FilePageCache.totalBytesStored,1788940497070000000,1788940557070000000,960
StreamlinedBlobStorage.recordsAllocated,1788940497070000000,1788940557070000000,0
DirectByteBufferAllocator.hits,1788940497070000000,1788940557070000000,0
StorageLockContext.competingThreads.max,1788940497070000000,1788940557070000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788940497070000000,1788940557070000000,41959424
FilePageCache.WAL.entriesFlushed,1788940497070000000,1788940557070000000,0
FilePageCache.totalPageStoresUs,1788940497070000000,1788940557070000000,8233
DirectByteBufferAllocator.misses,1788940497070000000,1788940557070000000,0
FilePageCache.WAL.entriesFlushedOnRead,1788940497070000000,1788940557070000000,0
MappedFileStorage.totalBytesMapped,1788940497070000000,1788940557070000000,232783872
FilePageCache.pageHits,1788940497070000000,1788940557070000000,0
FilePageCache.capacityInBytes,1788940497070000000,1788940557070000000,629145600
MappedFileStorage.totalPagesMapped,1788940497070000000,1788940557070000000,8
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788940497070000000,1788940557070000000,0
FilePageCache.totalPageDisposalsUs,1788940497070000000,1788940557070000000,0
StreamlinedBlobStorage.recordsRelocated,1788940497070000000,1788940557070000000,0
FilePageCache.totalPageLoadsUs,1788940497070000000,1788940557070000000,0
FilePageCache.WAL.entriesFlushedOnForce,1788940497070000000,1788940557070000000,0
FilePageCache.pageLoads,1788940497070000000,1788940557070000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1788940497070000000,1788940557070000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788940497070000000,1788940557070000000,0
FilePageCache.WAL.entriesFlushedOnClose,1788940497070000000,1788940557070000000,0
FilePageCache.disposedBuffers,1788940497070000000,1788940557070000000,0
FilePageCache.uncachedFileAccess,1788940497070000000,1788940557070000000,60
FilePageCache.WAL.bytesQueued,1788940497070000000,1788940557070000000,0
StorageLockContext.competingThreads.avg,1788940497070000000,1788940557070000000,0.0
DirectByteBufferAllocator.disposed,1788940497070000000,1788940557070000000,0
FilePageCache.maxCacheSizeInBytes,1788940497070000000,1788940557070000000,400564224
MappedFileStorage.totalTimeSpentOnMappingUs,1788940497070000000,1788940557070000000,179239
StreamlinedBlobStorage.recordsDeleted,1788940497070000000,1788940557070000000,0
FilePageCache.WAL.entriesFlushedOnTruncate,1788940497070000000,1788940557070000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788940497070000000,1788940557070000000,400564224
FilePageCache.pageLoadsAboveSizeThreshold,1788940497070000000,1788940557070000000,0
FilePageCache.maxRegisteredFiles,1788940497070000000,1788940557070000000,1072
cacheStateStorage.set.counter,1788940497070000000,1788940557070000000,0
cacheStateStorage.get.counter,1788940497070000000,1788940557070000000,0
cacheStateStorage.get.duration,1788940497070000000,1788940557070000000,0
cacheStateStorage.set.duration,1788940497070000000,1788940557070000000,0
jps.global.initialize.library.bridges.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788940497070000000,1788940557070000000,0
jps.app.storage.content.reader.load.component.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1788940497070000000,1788940557070000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.instances.count,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788940497070000000,1788940557070000000,0
workspaceModel.global.updates.ms,1788940497070000000,1788940557070000000,0
jps.load.initial.state.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788940497070000000,1788940557070000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788940497070000000,1788940557070000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788940497070000000,1788940557070000000,0
